feature,coefficient,abs_coefficient,selected
FT3_3M,0.7322131018953466,0.7322131018953466,True
ThyroidW,0.44941057840339593,0.44941057840339593,True
FT4_3M,0.43896247598449867,0.43896247598449867,True
FT4_1M,0.19404153740156002,0.19404153740156002,True
TSH_3M,-0.13804513107907088,0.13804513107907088,True
D_TSH_3M-0M,-0.12573843526725328,0.12573843526725328,True
FT3_1M,0.05514954381823696,0.05514954381823696,True
TRAb,0.014912787486433054,0.014912787486433054,True
Height,-0.004857916762978036,0.004857916762978036,True
Sex,0.0,0.0,False
Age,0.0,0.0,False
Weight,0.0,0.0,False
BMI,0.0,0.0,False
Exophthalmos,0.0,0.0,False
RAI3d,0.0,0.0,False
TreatCount,0.0,0.0,False
TGAb,0.0,0.0,False
TPOAb,0.0,0.0,False
Uptake24h,0.0,0.0,False
MaxUptake,0.0,0.0,False
HalfLife,0.0,0.0,False
Dose,0.0,0.0,False
FT3_0M,0.0,0.0,False
FT4_0M,0.0,0.0,False
TSH_0M,0.0,0.0,False
TSH_1M,0.0,0.0,False
D_FT3_3M-0M,0.0,0.0,False
D_FT4_3M-0M,0.0,0.0,False
